"","dolcan","cpiUSA","cpiCAN"
"1",0.9993,27.98,25.86
"2",0.9956,28.17,26
"3",0.9967,28.44,26.07
"4",1.0007,28.63,26.36
"5",1.0008,28.81,26.55
"6",0.9984,29.01,26.79
"7",0.9995,29.07,27.03
"8",1.0039,29.6,27.39
"9",1.0083,29.69,27.56
"10",1.0011,29.93,27.63
"11",0.9991,30.15,27.84
"12",0.9994,30.34,27.99
"13",0.9915,30.61,28.2
"14",0.9766,31,28.49
"15",0.972,31.35,28.77
"16",0.9676,31.53,28.99
"17",0.9623,31.88,29.47
"18",0.9664,32.18,29.85
"19",0.9763,32.42,30.06
"20",0.9799,32.84,30.35
"21",0.9864,33.24,30.54
"22",0.983,33.52,30.83
"23",0.9874,33.81,31.16
"24",0.9882,34.05,31.47
"25",0.9948,34.2,31.61
"26",1.0004,34.44,31.85
"27",1.0005,34.57,32.02
"28",1.011,34.75,32.19
"29",1.0286,34.9,32.45
"30",1.0264,35.19,32.93
"31",1.0309,35.56,33.38
"32",1.0354,35.67,33.72
"33",1.0263,35.84,33.79
"34",1.0251,36.06,34.1
"35",1.0139,36.28,34.41
"36",1.0139,36.43,34.46
"37",1.0065,36.52,34.65
"38",0.9935,36.61,34.77
"39",0.9859,36.7,34.91
"40",0.9836,36.85,35.05
"41",0.9802,37.07,35.34
"42",0.9736,37.27,35.51
"43",0.9722,37.49,35.65
"44",0.9854,37.66,35.82
"45",0.9751,37.81,35.98
"46",0.9727,37.97,36.22
"47",0.9859,38.08,36.34
"48",1.0183,38.19,36.46
"49",1.0103,38.41,36.77
"50",1.0279,38.8,37.11
"51",1.0513,39.04,37.49
"52",1.0515,39.35,37.7
"53",1.0486,39.57,38.01
"54",1.0577,39.83,38.28
"55",1.0612,40.01,38.63
"56",1.075,40.16,38.8
"57",1.0733,40.31,39.02
"58",1.0989,40.42,39.4
"59",1.1093,40.62,39.66
"60",1.0973,40.77,39.92
"61",1.1012,41.01,40.07
"62",1.113,41.28,40.33
"63",1.1258,41.58,40.78
"64",1.1417,41.96,40.88
"65",1.1186,42.35,41.45
"66",1.1218,42.79,41.81
"67",1.1246,43.09,42.43
"68",1.1404,43.34,42.46
"69",1.1664,43.66,42.38
"70",1.1828,44.01,42.81
"71",1.1731,44.26,43.17
"72",1.1798,44.45,43.29
"73",1.1899,44.85,43.63
"74",1.1956,45.37,44.03
"75",1.1739,45.81,44.56
"76",1.1464,46.34,44.87
